Timestamp;Type;Details
2026-03-04 23:11:40;RULE;REMOVED Name=Any_4.4.4.4_32_0_Block, IP=4.4.4.4/32, Port=0, Proto=Any, Act=Block
2026-03-04 23:11:40;INFO;[FW] Rule removed: FW-edd6f212-7e6f-4a99-975a-eb2843422a15
2026-03-04 23:11:39;RULE;REMOVED Name=Any_2.2.2.2_32_0_Block, IP=2.2.2.2/32, Port=0, Proto=Any, Act=Block
2026-03-04 23:11:39;INFO;[FW] Rule removed: FW-400f71f1-e05b-4a11-b02c-41dbf4b5290c
2026-03-04 23:11:00;RULE;REMOVED Name=Any_Any_0_Block, IP=Any, Port=0, Proto=Any, Act=Block
2026-03-04 23:11:00;INFO;[FW] Rule removed: FW-BlockAll-6970cac3-8f91-4793-8605-0459d6f2b3d6
2026-03-04 23:10:49;INFO;[WEB] started: http://localhost:2309/  |  LAN: http://192.168.1.70:2309/
2026-03-04 23:08:36;INFO;[WEB] started: http://localhost:2309/  |  LAN: http://192.168.1.70:2309/
2026-03-04 23:02:17;RULE;ADDED Name=Any_2.2.2.2_0_Block, IP=2.2.2.2, Port=0, Proto=Any, Act=Block
2026-03-04 23:02:17;INFO;[FW] Rule added: name=FW-400f71f1-e05b-4a11-b02c-41dbf4b5290c ip=2.2.2.2 port=0 proto=Any action=block
2026-03-04 23:02:10;RULE;ADDED Name=Any_4.4.4.4_0_Block, IP=4.4.4.4, Port=0, Proto=Any, Act=Block
2026-03-04 23:02:10;INFO;[FW] Rule added: name=FW-edd6f212-7e6f-4a99-975a-eb2843422a15 ip=4.4.4.4 port=0 proto=Any action=block
2026-03-04 23:01:38;INFO;[WEB] started: http://localhost:2309/  |  LAN: http://192.168.1.70:2309/
2026-03-04 23:00:43;INFO;[WEB] Block ALL added: FW-BlockAll-6970cac3-8f91-4793-8605-0459d6f2b3d6 by tunar (Admin)
2026-03-04 23:00:43;INFO;[FW] Block-All rule added: FW-BlockAll-6970cac3-8f91-4793-8605-0459d6f2b3d6
2026-03-04 23:00:34;INFO;[WEB] Rule removed: FW-Web-39c47e52-efb5-4281-aca2-e5d68f15c137 by tunar (Admin)
